"Location	EG",EG
"472966..474252	0",0
"474301..475161	0",0
"475379..475951	0",0
"475982..476371	0",0
"476672..477025	0",0
"477067..478617	0",0
"478781..479251	0",0
"479367..479918	0",0
"480090..480308	0",0
"480334..480708	0",0
"481254..484403	0",0
"484426..485619	0",0
"485761..486408	0",0
"486536..489898	0",0
"490110..490271	0",0
"490285..490812	0",0
"490882..491259	0",0
"491412..491963	0",0
"492092..494023	1",1
"494076..494405	0",0
"494405..495010	0",0
"495120..496994	0",0
"497175..497819	1",1
"498055..499017	1",1
"499014..499973	0",0
"500125..501429	0",0
"501562..503238	0",0
"503476..504696	0",0
"504914..506566	0",0
"506603..507082	0",0
"507286..508080	0",0
"508218..508559	0",0
"508875..511379	0",0
"511641..512573	0",0
"512576..513868	0",0
"513993..514400	0",0
"514401..514859	0",0
"514856..515773	0",0
"515919..516596	0",0
"516583..517362	0",0
"517425..518279	0",0
"518340..519149	0",0
"519139..519765	0",0
"519733..520419	0",0
"520416..522830	0",0
"523261..527541	0",0
"527581..527949	0",0
"530132..531226	0",0
"531295..532221	0",0
"532451..532933	0",0
"533011..533826	0",0
"533916..535697	0",0
"535710..536486	0",0
"536586..537464	0",0
"537633..539087	0",0
"539147..540508	0",0
"540565..541866	0",0
"541888..543033	0",0
"543261..544046	0",0
"544057..545292	0",0
"545314..546363	0",0
"546680..548347	0",0
"548357..549616	0",0
"549627..550442	0",0
"550439..551332	0",0
"551527..552594	0",0
"552591..553100	0",0
"553218..553940	1",1
"553943..554437	0",0
"554611..555996	1",1
"556032..556553	0",0
"556661..556873	0",0
"556875..557741	1",1
"558212..558754	0",0
"558974..559666	0",0
"559697..562300	0",0
"562336..563319	0",0
"563330..563845	0",0
"563848..564480	0",0
"564815..565978	0",0
"566842..567141	0",0
"567138..568004	0",0
"568315..568647	0",0
"568902..570428	0",0
"570893..571444	0",0
"571454..572251	0",0
"572368..572469	0",0
"572466..572921	0",0
"572921..573091	0",0
"573084..573374	0",0
"573371..573733	0",0
"573730..573870	0",0
"573956..574339	0",0
"574737..575753	0",0
"577398..577613	0",0
"577613..578110	0",0
"578107..578568	0",0
"578327..578509	0",0
"578600..578893	0",0
"579184..579594	0",0
"579880..580086	0",0
"580251..580445	0",0
"580834..581379	0",0
"583681..584430	0",0
"584680..585633	0",0
"586147..586908	0",0
"587091..587981	0",0
"587982..590954	0",0
"590941..593178	0",0
"593328..594770	0",0
"594760..595443	0",0
"595600..596973	0",0
"597131..597463	0",0
"597479..598702	0",0
"598714..601857	0",0
"601959..603335	0",0
"603416..604663	0",0
"604771..605424	0",0
"605518..605886	0",0
"605951..606199	0",0
"606265..607383	0",0
"607836..607988	0",0
"608065..609177	0",0
"609459..610079	1",1
"610254..612494	0",0
"612737..613939	0",0
"613942..614160	0",0
"614157..618038	0",0
"618254..619387	0",0
"619384..620199	0",0
"620196..621188	0",0
"621185..622189	0",0
"622300..623550	0",0
"623554..624510	0",0
"624885..626060	0",0
"626070..627680	0",0
"627694..628551	0",0
"628551..629297	0",0
"629300..629713	0",0
"629894..631999	0",0
"632182..632379	0",0
"632389..633477	0",0
"633586..634746	0",0
"634747..635376	0",0
"635349..636569	0",0
"636716..637618	0",0
"637827..638573	0",0
"638945..639508	0",0
"639753..641318	0",0
"641439..641867	0",0
"642088..643326	0",0
"643557..643967	0",0
"644197..645003	0",0
"645117..646580	0",0
"646631..647509	0",0
"647484..648035	0",0
"648039..649571	0",0
"649582..650490	0",0
"650487..650783	0",0
"650798..651856	0",0
"652235..653893	0",0
"653862..654542	0",0
"654583..655968	0",0
"656557..657117	0",0
"657292..657501	0",0
"657555..657938	0",0
"658947..659150	0",0
"659251..660216	0",0
"660425..661378	0",0
"661637..662278	0",0
"662379..662642	0",0
"662752..663963	0",0
"664102..665190	0",0
"665201..666313	1",1
"666316..668217	1",1
"668248..668715	0",0
"668719..669036	0",0
"669296..669907	0",0
"669931..670572	1",1
"670574..671605	1",1
"671605..672186	1",1
"672201..674783	1",1
"675018..675500	0",0
"675570..676547	0",0
"676711..677418	0",0
"677415..678842	0",0
"678852..679406	0",0
"679508..680215	0",0
"680212..681663	0",0
"681723..683393	0",0
"683477..684412	0",0
"684530..685255	0",0
"685255..685929	0",0
"685929..686669	0",0
"686839..687747	0",0
"687997..689013	0",0
"689343..690881	1",1
"690906..691784	0",0
"691874..692341	0",0
"692338..693378	0",0
"693531..694955	0",0
"695101..696276	0",0
"697513..699177	0",0
"699574..700326	0",0
"700374..701594	0",0
"701603..702751	0",0
"702811..703611	0",0
"703944..705890	0",0
"706093..707757	1",1
"708334..709740	0",0
"709790..710116	0",0
"710200..710646	0",0
"710639..710725	0",0
"710935..711465	1",1
"711605..711898	0",0
"712038..712802	0",0
"712987..713532	0",0
"713558..715198	0",0
"715412..715906	0",0
"716946..718265	0",0
"718262..720460	0",0
"720583..720840	0",0
"721056..721733	0",0
"721730..724414	0",0
"724407..724979	0",0
"724988..727036	0",0
"727059..728732	0",0
"728732..728821	0",0
"729134..729340	0",0
"729583..733776	0",0
"733776..734102	0",0
"735650..736219	0",0
"738092..738853	0",0
"739001..739510	0",0
"739507..740925	0",0
"741075..742556	0",0
"742827..743570	0",0
"743593..744249	0",0
"744243..745175	0",0
"745165..745899	0",0
"745935..746726	0",0
"746723..747769	0",0
"747921..748982	0",0
"748979..749707	0",0
"749722..752169	0",0
"752229..752795	0",0
"753185..754468	0",0
"755177..755566	0",0
"755560..755907	0",0
"755907..757673	0",0
"757689..758405	0",0
"758706..761507	0",0
"761522..762739	0",0
"763014..764180	0",0
"764180..765049	0",0
"765153..765875	0",0
"765984..767960	0",0
"767978..770611	0",0
"771458..773026	1",1
"773042..774181	0",0
"774196..774309	0",0
"774309..774602	0",0
"774752..775156	0",0
"775153..775845	0",0
"775849..776277	0",0
"776342..777607	0",0
"777740..779032	0",0
"779067..779588	0",0
"779598..780389	0",0
"782085..783128	0",0
"783166..783885	0",0
"783882..784823	0",0
"784937..785317	0",0
"785633..786685	0",0
"786843..787595	0",0
"787797..788837	0",0
"788831..789979	0",0
"789983..791029	0",0
"791039..792055	0",0
"792316..793788	0",0
"793856..794644	0",0
"794773..794922	0",0
"795089..795862	0",0
"795862..796551	0",0
"796554..797612	0",0
"797613..798431	0",0
"798586..799581	0",0
"799622..800575	0",0
"800759..801811	0",0
"801887..803320	0",0
"803503..805764	0",0
"805998..807281	0",0
"807433..807909	0",0
"807968..809257	0",0
"809344..810384	0",0
"810381..811535	0",0
"811522..812277	0",0
"812270..812947	0",0
"813526..815547	0",0
"815739..816647	0",0
"817044..818033	0",0
"818055..818567	0",0
"818570..819055	0",0
"819048..819293	0",0
"819295..819747	0",0
"819884..820588	0",0
"820793..821506	0",0
"821542..822498	0",0
"822498..823739	0",0
"823736..824497	0",0
"824630..825040	0",0
"825002..826108	0",0
"826119..827252	0",0
"827245..828981	0",0
"828974..829972	0",0
"829972..830643	0",0
"830872..832236	0",0
"832468..832950	0",0
"833070..835220	0",0
"835248..836210	0",0
"836351..837436	0",0
"837665..837925	0",0
"838190..838456	0",0
"838530..839207	0",0
"839249..841531	0",0
"841796..842056	0",0
"842332..843258	0",0
"843255..845480	0",0
"845741..846463	0",0
"846460..847119	0",0
"847258..848004	0",0
"848408..848911	0",0
"849210..850097	0",0
"850450..850965	0",0
"851014..852597	0",0
"852869..852997	0",0
"853183..853650	0",0
"853647..854765	0",0
"854824..855744	0",0
"855963..857555	0",0
"857796..859061	0",0
"859213..860028	0",0
"860174..862606	0",0
"862612..863511	0",0
"863642..864304	0",0
"864380..865129	0",0
"865129..866364	0",0
"866568..867533	0",0
"867520..869391	0",0
"869411..870949	0",0
"870967..871887	0",0
"871890..872801	0",0
"872979..875327	0",0
"875335..876663	0",0
"876710..878035	0",0
"878248..878631	0",0
"878742..879857	0",0
"879854..880480	0",0
"880727..881929	0",0
"881976..882734	0",0
"882792..883388	0",0
"883673..884905	0",0
"884946..885230	0",0
"885316..886131	0",0
"886131..887339	0",0
"887423..887959	0",0
"888134..889819	0",0
"890089..890466	0",0
"890496..890753	0",0
"890913..891200	0",0
"891184..891906	0",0
"891967..892869	0",0
"892957..893433	0",0
"893784..894896	0",0
"894991..896124	0",0
"896134..897087	0",0
"897084..897929	0",0
"897989..898477	0",0
"898518..899645	0",0
"899844..900575	0",0
"900866..901534	0",0
"901534..902250	0",0
"902257..902988	0",0
"903006..903734	0",0
"903952..904467	0",0
"904593..904916	0",0
"904913..905743	0",0
"905740..906753	0",0
"906852..908282	0",0
"908293..909294	0",0
"909331..911049	0",0
"911182..912150	0",0
"912162..913814	0",0
"913958..914857	0",0
"915352..916047	0",0
"916473..918131	0",0
"918128..919120	0",0
"919235..920350	0",0
"920347..922293	0",0
"922366..922590	0",0
"922913..923233	0",0
"923264..925540	0",0
"926225..926443	1",1
"926728..927432	0",0
"927474..929195	1",1
"929196..930962	0",0
"931085..932050	0",0
"932595..933089	0",0
"933224..937213	1",1
"937372..937983	1",1
"937994..939337	0",0
"939428..940720	1",1
"940959..943403	0",0
"943414..944031	0",0
"944033..944896	0",0
"944931..945557	0",0
"945871..947019	0",0
"947229..948659	0",0
"948660..949568	0",0
"949668..950258	0",0
"950340..951080	0",0
"951272..953554	0",0
"953609..954466	0",0
"954872..956632	0",0
"956762..957454	0",0
"957653..958741	0",0
"958812..960095	0",0
"960264..961028	0",0
"961201..961884	0",0
"961995..963668	1",1
"963828..964112	0",0
"964320..966584	0",0
"966621..968369	1",1
"968366..969352	1",1
"969389..970621	0",0
"970673..970855	0",0
"970852..971598	1",1
"971752..972645	0",0
"972622..973401	0",0
"973537..974322	0",0
"974319..975641	1",1
"975622..976326	1",1
"976326..980786	1",1
"981047..982894	0",0
"983075..983623	0",0
"983650..984297	0",0
"984519..985709	0",0
"985894..986982	0",0
"987585..988985	1",1
"989154..990356	0",0
"990622..993234	0",0
"993277..994044	0",0
"994041..994832	0",0
"994843..995988	0",0
"995985..996944	0",0
"996937..997512	0",0
"997868..998407	0",0
"998490..999191	0",0
"999216..1001816	0",0
"1001807..1002877	0",0
"1002889..1003431	0",0
"1003439..1003954	0",0
"1003947..1004657	0",0
"1004768..1005778	0",0
"1005952..1006494	0",0
"1006491..1007600	0",0
"1007844..1009952	0",0
"1009964..1011871	0",0
"1012001..1013254	0",0
"1013259..1014899	0",0
"1014896..1015459	0",0
"1015715..1015882	0",0
"1015952..1016470	1",1
"1016539..1018299	0",0
"1018485..1018937	0",0
"1019013..1020053	0",0
"1020410..1020919	0",0
"1021138..1021767	0",0
"1021730..1023883	0",0
"1023902..1024348	0",0
"1024471..1026525	0",0
"1026557..1027015	0",0
"1027111..1027773	0",0
"1027946..1028359	0",0
"1028404..1028721	0",0
"1028779..1029969	0",0
"1030064..1030342	0",0
"1030339..1030668	0",0
"1030759..1031418	0",0
"1032139..1033257	0",0
"1033254..1035047	0",0
"1035066..1035773	0",0
"1035770..1036357	0",0
"1036354..1036752	0",0
"1036749..1037606	0",0
"1037740..1039284	0",0
"1039296..1040432	0",0
"1040445..1040537	0",0
"1040617..1041915	0",0
"1042030..1044210	0",0
"1044230..1044676	0",0
"1044664..1045803	0",0
"1045849..1047945	0",0
"1047945..1048691	0",0
"1048688..1049332	0",0
"1049439..1049744	0",0
"1049833..1050108	0",0
"1050027..1050530	0",0
"1050963..1051175	0",0
"1051461..1051673	0",0
"1051847..1052077	0",0
"1052067..1052240	0",0
"1052289..1053362	0",0
"1053434..1056178	0",0
"1056261..1057289	0",0
"1057262..1057954	0",0
"1058084..1059256	0",0
"1059256..1061802	0",0
"1061799..1062398	0",0
"1062550..1062855	0",0
"1062855..1063775	0",0
"1064036..1065292	0",0
"1065585..1066826	0",0
"1066864..1067091	0",0
"1067112..1067708	0",0
"1068081..1068254	0",0
"1068511..1069839	0",0
"1069860..1070354	0",0
"1070365..1070955	0",0
"1070965..1071765	0",0
"1071773..1072159	0",0
"1072171..1072863	0",0
"1072863..1074011	0",0
"1074242..1074880	0",0
"1074920..1078882	0",0
"1079305..1080813	0",0
"1082243..1083370	0",0
"1083376..1084647	0",0
"1084992..1086056	0",0
"1086106..1086519	0",0
"1086521..1087846	0",0
"1087839..1089857	0",0
"1089866..1092289	0",0
"1092876..1094234	0",0
"1094275..1095141	0",0
"1095138..1095437	0",0
"1095843..1096829	0",0
"1097886..1098824	0",0
"1098879..1099616	0",0
"1099640..1100194	0",0
"1100296..1100787	0",0
"1100851..1101684	0",0
"1101711..1102127	0",0
"1102152..1102541	0",0
"1102546..1103196	0",0
"1103951..1104406	0",0
"1104447..1104902	0",0
"1104961..1105293	0",0
"1105414..1105725	0",0
"1105820..1106353	0",0
"1106355..1107776	0",0
"1107784..1108941	0",0
"1109335..1110870	0",0
"1110863..1113406	0",0
"1113579..1113806	0",0
"1113807..1114181	0",0
"1114264..1115490	0",0
"1115662..1116582	0",0
"1116807..1117859	0",0
"1117901..1118476	0",0
"1118480..1119046	0",0
"1119307..1119447	0",0
"1119468..1120586	0",0
"1120701..1120955	0",0
"1121242..1121487	0",0
"1121561..1122607	0",0
"1122713..1123273	0",0
"1123407..1124054	0",0
"1124118..1125326	0",0
"1125562..1126146	0",0
"1126157..1126804	0",0
"1126806..1127729	0",0
"1127839..1129374	1",1
"1129414..1129830	0",0
"1129835..1130128	0",0
"1130204..1130863	0",0
"1131018..1131434	0",0
"1131438..1131842	0",0
"1131854..1132549	0",0
"1132574..1133782	0",0
"1133802..1134557	0",0
"1134729..1135511	0",0
"1135564..1136262	0",0
"1136274..1137371	0",0
"1137371..1138312	0",0
"1138378..1140021	0",0
"1140033..1140986	0",0
"1141182..1144367	1",1
"1144502..1144822	1",1
"1144940..1145899	0",0
"1146011..1146595	0",0
"1146794..1147315	0",0
"1147367..1147540	0",0
"1147621..1148691	0",0
"1148759..1149712	0",0
"1149728..1150657	1",1
"1150670..1151404	1",1
"1151615..1151851	1",1
"1151939..1153180	0",0
"1153300..1154109	0",0
"1154112..1155134	0",0
"1155124..1155765	1",1
"1155762..1156766	1",1
"1156777..1157574	0",0
"1157869..1159302	0",0
"1159362..1161551	0",0
"1161885..1162244	0",0
"1162247..1162624	0",0
"1162638..1163279	0",0
"1163260..1164084	0",0
"1164095..1165120	0",0
"1165143..1165685	0",0
"1166085..1167389	0",0
"1167599..1168138	0",0
"1168200..1168832	0",0
"1169073..1169330	0",0
"1169412..1170374	0",0
"1170518..1173964	0",0
"1174092..1175165	0",0
"1175427..1176626	1",1
"1176619..1177320	1",1
"1177320..1178564	1",1
"1178593..1179504	0",0
"1179631..1180359	0",0
"1180479..1181267	0",0
"1181264..1181725	0",0
"1181783..1182829	0",0
"1182826..1183620	0",0
"1183617..1184444	0",0
"1184458..1185594	0",0
"1185844..1187070	0",0
"1187119..1188240	0",0
"1188316..1189776	0",0
"1189776..1190447	0",0
"1190616..1191986	1",1
"1191990..1192631	0",0
"1192667..1193773	0",0
"1193827..1194288	0",0
"1194298..1194951	0",0
"1195123..1196373	0",0
"1196867..1197532	0",0
"1197533..1198237	0",0
"1198695..1199588	0",0
"1199679..1200806	0",0
"1200787..1201032	0",0
"1201497..1201838	0",0
"1201776..1202084	0",0
"1202259..1202933	1",1
"1203024..1203224	0",0
"1203268..1203825	0",0
"1203822..1204160	0",0
"1205549..1205731	0",0
"1206913..1207497	0",0
"1207501..1208130	0",0
"1208132..1208545	0",0
"1208517..1209119	0",0
"1209685..1210239	0",0
"1210346..1211179	0",0
"1211680..1212003	0",0
"1212703..1213107	0",0
"1213328..1214059	0",0
"1214264..1215475	0",0
"1215789..1216025	0",0
"1216068..1216340	0",0
"1216369..1216635	0",0
"1216748..1216996	0",0
"1217328..1218851	0",0
"1218983..1219201	0",0
"1222305..1222634	0",0
"1222644..1222988	0",0
"1222990..1223163	0",0
"1223264..1223449	0",0
"1224279..1224545	1",1
"1224549..1225361	1",1
"1225385..1226080	0",0
"1226600..1226968	0",0
"1227071..1227472	0",0
"1227714..1228007	0",0
"1228079..1228738	0",0
"1228815..1229276	0",0
"1229483..1230394	0",0
"1230767..1231186	0",0
"1231186..1232454	0",0
"1232500..1233030	0",0
"1233176..1234717	0",0
"1234938..1235657	0",0
"1235709..1237241	0",0
"1237571..1238869	0",0
"1238879..1239949	0",0
"1240335..1242071	0",0
"1242166..1243080	0",0
"1243180..1243791	0",0
"1243793..1244527	0",0
"1244728..1244982	0",0
"1245160..1245600	0",0
"1245679..1247376	0",0
"1247696..1249114	0",0
"1249125..1249757	0",0
"1249768..1250838	0",0
"1251066..1252985	0",0
"1253085..1255952	0",0
"1256721..1257812	0",0
"1257929..1258513	1",1
"1258791..1259069	0",0
"1259124..1260803	0",0
"1260928..1261875	1",1
"1262026..1262877	1",1
"1262877..1263500	1",1
"1263714..1264970	1",1
"1265012..1266094	1",1
"1266094..1266927	1",1
"1266924..1267316	0",0
"1267320..1268129	0",0
"1268165..1269019	1",1
"1269168..1269275	0",0
"1269703..1269810	0",0
"1270238..1270345	0",0
"1270749..1271849	0",0
"1272119..1272349	0",0
"1272507..1273202	0",0
"1273246..1273599	0",0
"1273784..1275178	0",0
"1275179..1275829	0",0
"1275822..1277618	0",0
"1277957..1279348	0",0
"1279864..1283607	0",0
"1283604..1285142	0",0
"1285139..1285849	0",0
"1285849..1286526	0",0
"1287087..1287176	0",0
"1287782..1288624	0",0
"1288674..1289132	0",0
"1289245..1290150	0",0
"1290242..1291255	0",0
"1291457..1292365	0",0
"1292509..1292922	0",0
"1293527..1294144	0",0
"1295446..1298121	0",0
"1298598..1299245	0",0
"1301182..1302813	0",0
"1302899..1303819	0",0
"1303834..1304742	0",0
"1304754..1305767	0",0
"1305764..1306768	0",0
"1306821..1307150	0",0
"1307185..1308645	0",0
"1308788..1308961	0",0
"1309016..1310269	0",0
"1310569..1310865	0",0
"1311089..1311808	0",0
"1311848..1312246	0",0
"1312351..1312890	0",0
"1312920..1313663	0",0
"1314020..1314658	0",0
"1314718..1315224	0",0
"1315270..1315770	0",0
"1315856..1316035	0",0
"1316416..1317222	0",0
"1317222..1318415	0",0
"1318427..1319788	0",0
"1319789..1321384	0",0
"1321384..1322946	0",0
"1323038..1323082	0",0
"1323220..1324101	0",0
"1324098..1324718	0",0
"1324746..1326641	0",0
"1326852..1327727	0",0
"1327767..1328357	0",0
"1328354..1329112	0",0
"1329332..1330381	0",0
"1330417..1330668	0",0
"1331048..1333645	1",1
"1333855..1334829	0",0
"1335124..1335288	0",0
"1335291..1335458	0",0
"1335831..1338506	0",0
"1338570..1339160	1",1
"1339330..1340094	0",0
"1340243..1340551	0",0
"1340558..1341727	0",0
"1341921..1342658	0",0
"1342658..1342984	0",0
"1343110..1343328	0",0
"1343597..1344346	0",0
"1344436..1344609	0",0
